,k=1,k=3,k=5,k=10,k=20,k=50,k=100
intersection_max,0.9984184297693295,2.496702575273791,3.281728387693593,3.872877562591388,3.872877562591388,3.872877562591388,3.872877562591388
intersection_mean,0.9984184297693295,2.0080670028748067,2.4672505545439813,2.804559306041591,2.804559306041591,2.804559306041591,2.804559306041591
intersection_min,0.9984184297693295,1.6300319298140908,1.9574468085106382,2.1885649488227745,2.1885649488227745,2.1885649488227745,2.1885649488227745
intersection_weighted,0.9984184297693295,2.062762311755193,2.5542736876771306,2.914607783413453,2.914607783413453,2.914607783413453,2.914607783413453
