,k=1,k=3,k=5,k=10,k=20,k=50,k=100
intersection_max,0.9951359255169944,2.4956283011548446,3.281250932529617,3.8724001074274117,3.8724001074274117,3.8724001074274117,3.8724001074274117
intersection_mean,0.9951359255169944,1.9942158296282222,2.447153670933657,2.7792794642649126,2.7792794642649126,2.7792794642649126,2.7792794642649126
intersection_min,0.9951359255169944,1.606547103936021,1.9226224224881383,2.1480707827280594,2.1480707827280594,2.1480707827280594,2.1480707827280594
intersection_weighted,0.9951359255169944,2.050291614467381,2.5360332539083825,2.8915314386423283,2.8915314386423283,2.8915314386423283,2.8915314386423283
