,k=1,k=3,k=5,k=10,k=20,k=50,k=100
intersection_max,0.9984184297693295,0.9352650373510476,0.8972118607820326,0.8935540000369453,0.8935540000369453,0.8935540000369453,0.8935540000369453
intersection_mean,0.9984184297693295,0.7684955851976069,0.7087077460469714,0.6995074630386998,0.6995074630386998,0.6995074630386998,0.6995074630386998
intersection_min,0.9984184297693295,0.6363084758239764,0.5786448230928377,0.5678960426640172,0.5678960426640172,0.5678960426640172,0.5678960426640172
intersection_weighted,0.9984184297693295,0.7871711607992598,0.7290342374041653,0.7200304246894265,0.7200304246894265,0.7200304246894265,0.7200304246894265
