,k=1,k=3,k=5,k=10,k=20,k=50,k=100
intersection_max,0.998448270717078,2.496702575273791,3.281728387693593,3.872877562591388,3.872877562591388,3.872877562591388,3.872877562591388
intersection_mean,0.998448270717078,2.026672833795982,2.49487034108169,2.8346827836203556,2.8346827836203556,2.8346827836203556,2.8346827836203556
intersection_min,0.998448270717078,1.6639312464563873,2.00796753304885,2.2460087732386382,2.2460087732386382,2.2460087732386382,2.2460087732386382
intersection_weighted,0.998448270717078,2.0794152771075485,2.579208786570851,2.9421594701289386,2.9421594701289386,2.9421594701289386,2.9421594701289386
