,k=1,k=3,k=5,k=10,k=20,k=50,k=100
intersection_max,0.9951359255169944,0.9349069459780657,0.8970924969910389,0.8934419780664286,0.8934419780664286,0.8934419780664286,0.8934419780664286
intersection_mean,0.9951359255169944,0.7635709999038933,0.7034703778859308,0.6943836075986152,0.6943836075986152,0.6943836075986152,0.6943836075986152
intersection_min,0.9951359255169944,0.6279132225240398,0.5694627634706444,0.5595406957108883,0.5595406957108883,0.5595406957108883,0.5595406957108883
intersection_weighted,0.9951359255169944,0.7827417614157584,0.7243035423485839,0.7153821458672424,0.7153821458672424,0.7153821458672424,0.7153821458672424
