,k=1,k=3,k=5,k=10,k=20,k=50,k=100
intersection_max,0.998448270717078,2.496702575273791,3.281728387693593,3.872877562591388,3.872877562591388,3.872877562591388,3.872877562591388
intersection_mean,0.998448270717078,2.05579759879846,2.5401972486644326,2.9003608623180845,2.9003608623180845,2.9003608623180845,2.9003608623180845
intersection_min,0.998448270717078,1.696338515711259,2.0195458207752677,2.2608397242696427,2.2608397242696427,2.2608397242696427,2.2608397242696427
intersection_weighted,0.998448270717078,2.105232923205614,2.6197010011506907,3.001388144118679,3.001388144118679,3.001388144118679,3.001388144118679
