,k=1,k=3,k=5,k=10,k=20,k=50,k=100
intersection_max,0.998448270717078,0.935304825281379,0.8973078491639571,0.8936487687293387,0.8936487687293387,0.8936487687293387,0.8936487687293387
intersection_mean,0.998448270717078,0.7750465021436134,0.7154797761266501,0.706092571078585,0.706092571078585,0.706092571078585,0.706092571078585
intersection_min,0.998448270717078,0.6484835825053944,0.5913933733201363,0.5807607002296834,0.5807607002296834,0.5807607002296834,0.5807607002296834
intersection_weighted,0.998448270717078,0.7930413589095424,0.7351424264442948,0.7259894237648856,0.7259894237648856,0.7259894237648856,0.7259894237648856
