,k=1,k=3,k=5,k=10,k=20,k=50,k=100
intersection_max,0.998448270717078,0.9353446132117105,0.8973839435807159,0.8938246645380118,0.8938246645380118,0.8938246645380118,0.8938246645380118
intersection_mean,0.998448270717078,0.7856665638812401,0.7285354394411719,0.7217946782003831,0.7217946782003831,0.7217946782003831,0.7217946782003831
intersection_min,0.998448270717078,0.6611759322810504,0.6004709896253205,0.5940787744180747,0.5940787744180747,0.5940787744180747,0.5940787744180747
intersection_weighted,0.998448270717078,0.8024475038366077,0.7467688197353967,0.7400606967857998,0.7400606967857998,0.7400606967857998,0.7400606967857998
